core_id,st,maxtime,mintime,n_gps_samples,gps_satellites_avg,lat_avg,lat_fixed,lon_avg,lon_fixed,dist_diff_meters
500036001351363038393739,2018-06-14 15:17:28+00,2018-12-19 13:50:32+00,2018-07-01 00:02:43+00,12681,7.97720999921142,5.6180686400915,5.618104,-0.259325627553032,-0.2594261,11.7430668203845
200030000347373334363431,2019-04-18 18:10:29+00,2019-08-31 23:59:58+00,2019-04-18 21:23:42+00,118330,11.0640665934252,5.61137473578964,5.6113024,-0.237476437065846,-0.2374028,11.3802803171211
3b0023000a47373334363431,2019-04-19 09:42:46+00,2019-08-28 17:43:51+00,2019-04-24 15:58:54+00,5461,5.2093023255814,5.56192832100349,5.5618283,-0.242183804065189,-0.2422089,11.3691257679141
30002a000e47373334363431,2019-02-27 19:53:43+00,2019-08-25 06:28:22+00,2019-02-27 23:33:33+00,52725,8.63910858226648,5.55380560997629,5.5538128,-0.253753538511141,-0.2538563,11.3571521401165
500057000d50483553343720,2019-04-23 18:20:37+00,2019-08-31 19:40:14+00,2019-04-25 03:46:59+00,2080,4.65961538461538,5.61143389951922,5.6113439,-0.295249114903846,-0.2952027,11.1642792782998
4a0054000d50483553343720,2019-02-22 17:01:01+00,2019-08-31 23:59:30+00,2019-02-22 17:10:13+00,152726,10.8895211031521,5.55123254292647,5.5511333,-0.265627517384078,-0.2656427,11.0688311142907
3e002e001451343334363036,2018-06-21 12:01:29+00,2018-08-16 13:58:51+00,2018-08-05 12:32:32+00,688,4.62790697674419,5.68068732558139,5.680624,-0.267870161337209,-0.2677936,10.9540838196877
4c0048000551353431383736,2018-06-13 15:23:31+00,2019-08-31 23:59:42+00,2018-07-01 00:01:17+00,258122,9.06409372312317,5.63382264044517,5.633802,-0.285183057472822,-0.2850861,10.9290950746738
350020000247373334363431,2019-05-09 15:44:37+00,2019-08-17 05:12:43+00,2019-05-09 16:07:59+00,86892,7.53785158587672,5.63755435336983,5.63755,-0.257081263004649,-0.2569826,10.8881798807346
430039000347373334363431,2019-03-08 15:49:12+00,2019-07-10 21:29:58+00,2019-03-11 03:55:17+00,528,4.74621212121212,5.55585223863637,5.5558953,-0.270010193181818,-0.2699244,10.5832828249184
270045000f47373334363431,2019-02-25 19:28:43+00,2019-08-31 23:58:57+00,2019-02-25 19:29:46+00,103770,10.1020429796666,5.53959159614532,5.5396291,-0.269282648588239,-0.2693703,10.5109999612857
470019000951343334363138,2018-06-19 17:48:00+00,2018-12-14 21:37:01+00,2018-07-01 05:29:59+00,11854,5.09228952252404,5.61205508798716,5.612037,-0.237266999662561,-0.2373594,10.3804913350429
1e0024000747373334363431,2019-02-25 19:13:07+00,2019-08-31 20:46:51+00,2019-02-25 20:02:24+00,123935,6.00852866421915,5.53426112210436,5.5343356,-0.2680434299754,-0.2679865,10.33530040467
380025000a47373334363431,2019-03-01 19:36:07+00,2019-06-07 15:10:31+00,2019-03-01 19:37:28+00,40418,6.40011875896878,5.59900713909641,5.5989138,-0.241984536048297,-0.2419788,10.3100487593482
33001d000247373334363431,2019-03-01 08:06:49+00,2019-08-31 23:59:19+00,2019-03-01 08:52:41+00,111639,11.6575390320587,5.60525451154141,5.6052711,-0.224751834421672,-0.2246604,10.2452035865305
43002b000347373334363431,2019-02-22 18:27:01+00,2019-08-31 21:32:20+00,2019-02-22 22:22:01+00,52511,4.85713469558759,5.54362421285072,5.5436829,-0.27146765757651,-0.2715394,10.2189064033835
39004f000951343334363138,2018-06-18 09:08:36+00,2019-08-31 23:12:29+00,2018-07-02 10:33:44+00,92636,4.91847661816141,5.59609279529557,5.596131,-0.288903675925123,-0.2888202,10.1213039922958
1f0028000747373334363431,2019-05-09 17:49:13+00,2019-09-01 00:00:00+00,2019-05-09 20:42:45+00,65748,6.53708097584717,5.55222546372514,5.5523108,-0.240464080899804,-0.2404975,10.1040477389718
25004a000151353432393339,2018-06-19 17:34:26+00,2019-08-31 23:59:11+00,2018-07-01 00:00:04+00,242583,11.1735941925032,5.66474060089855,5.664656,-0.283689631404507,-0.2836558,10.0453880581944
340050001251363038393739,2018-06-14 17:07:40+00,2018-08-14 08:57:25+00,2018-07-01 00:01:01+00,31441,6.1484685601603,5.6375634863395,5.63755,-0.257070745268918,-0.2569826,9.83110432310516
350029001951353339373130,2019-04-23 21:16:30+00,2019-08-17 17:43:22+00,2019-05-16 10:18:54+00,60,4.83333333333333,5.6650256,5.6649751,-0.282895416666667,-0.2829685,9.79391378395387
