core_id,st,maxtime,mintime,n_gps_samples,gps_satellites_avg,lat_avg,lat_fixed,lon_avg,lon_fixed,dist_diff_meters
2f002c001251363038393739,2018-06-18 10:50:38+00,2018-12-13 16:19:49+00,2018-07-18 06:04:30+00,96668,7.85337443621467,5.6666521422358,5.658278,-0.278495466573104,-0.2863584,1266.44564315798
510042001951353339373130,2019-04-16 09:21:03+00,2019-08-21 04:48:02+00,2019-04-18 06:27:14+00,113170,4.28264557744985,5.66656052319294,5.658278,-0.27846504352049,-0.2863584,1261.41258175388
33005b000e51353433323633,2018-06-19 11:09:26+00,2019-08-31 23:59:38+00,2018-07-01 00:00:20+00,311845,6.28048549760298,5.67402901582422,5.666141,-0.26666853905196,-0.2740577,1191.62091104136
3f0025000d47373334363431,2019-04-19 09:40:55+00,2019-08-31 23:59:06+00,2019-04-19 09:41:16+00,93993,0.0835062185481898,5.57567352302346,5.585064,-0.232887764552563,-0.234848,1057.61636559855
26003c000f47373334363431,2019-03-01 20:51:13+00,2019-07-17 12:44:45+00,2019-03-01 20:51:59+00,88593,0.108992809815674,5.55623791566921,5.5651561,-0.210714581610446,-0.2121047,995.102849323008
500030001951353339373130,2019-04-17 22:08:16+00,2019-08-31 23:59:09+00,2019-04-17 22:09:41+00,65505,0.0516601786123197,5.66305002419355,5.6720591,-0.28668229516129,-0.2871757,994.739111197538
320062000951343334363138,2019-04-15 22:42:26+00,2019-08-30 18:12:11+00,2019-04-16 10:55:05+00,112527,2.21046504394501,5.6721506611834,5.6634386,-0.287341942841304,-0.2873836,960.515725524053
3f0025000d47373334363431,2019-03-04 20:04:53+00,2019-04-19 09:41:16+00,2019-03-04 20:04:54+00,1888,3.36122881355932,5.57957270594838,5.5847621,-0.228851884399551,-0.235254,908.589071534431
43002c000951343334363138,2018-06-21 16:17:14+00,2018-12-10 23:21:27+00,2018-10-14 01:23:16+00,39066,3.70370654789331,5.64737658403165,5.651056,-0.281870057569684,-0.2751968,840.148899617982
390032000647373334363431,2019-02-27 22:15:10+00,2019-08-30 19:28:18+00,2019-02-27 22:15:12+00,110528,2.20963918645049,5.56470637295146,5.5578274,-0.248230673499379,-0.2458962,800.888930031452
