Pair_ID,Origin_ID,Destination_ID,Dist_along_grid_meters,Destination_Rank
2b004b001251363038393739 6/13/18 7:56 - 34002b001251363038393739 6/14/18 9:22,2b004b001251363038393739 6/13/18 7:56 ,34002b001251363038393739 6/14/18 9:22,8571.513441,52
2b004b001251363038393739 6/13/18 7:56 - 260045000f47373334363431 4/17/19 20:50,2b004b001251363038393739 6/13/18 7:56 ,260045000f47373334363431 4/17/19 20:50,8630.885572,53
2b004b001251363038393739 6/13/18 7:56 - 4f004a001951353339373130 6/14/18 11:31,2b004b001251363038393739 6/13/18 7:56 ,4f004a001951353339373130 6/14/18 11:31,9453.278821,54
2b004b001251363038393739 6/13/18 7:56 - 3d0055001951353339373130 6/14/18 11:54,2b004b001251363038393739 6/13/18 7:56 ,3d0055001951353339373130 6/14/18 11:54,9560.144236,55
2b004b001251363038393739 6/13/18 7:56 - 2.20037E+23 4/16/19 21:37,2b004b001251363038393739 6/13/18 7:56 ,2.20037E+23 4/16/19 21:37,9560.144236,56
2b004b001251363038393739 6/13/18 7:56 - 270042000f47373334363431 4/16/19 15:13,2b004b001251363038393739 6/13/18 7:56 ,270042000f47373334363431 4/16/19 15:13,9602.443162,57
2b004b001251363038393739 6/13/18 7:56 - 2.40055E+23 6/19/18 17:25,2b004b001251363038393739 6/13/18 7:56 ,2.40055E+23 6/19/18 17:25,9883.090684,58
2b004b001251363038393739 6/13/18 7:56 - 33005a001251363038393739 6/20/18 18:38,2b004b001251363038393739 6/13/18 7:56 ,33005a001251363038393739 6/20/18 18:38,10023.68104,59
2b004b001251363038393739 6/13/18 7:56 - 5.50033E+23 6/20/18 18:56,2b004b001251363038393739 6/13/18 7:56 ,5.50033E+23 6/20/18 18:56,10023.68104,60
2b004b001251363038393739 6/13/18 7:56 - 3.40064E+23 4/19/19 11:00,2b004b001251363038393739 6/13/18 7:56 ,3.40064E+23 4/19/19 11:00,10131.28887,61
2b004b001251363038393739 6/13/18 7:56 - 34005b000a51353431383437 4/17/19 10:34,2b004b001251363038393739 6/13/18 7:56 ,34005b000a51353431383437 4/17/19 10:34,10442.35575,62
2b004b001251363038393739 6/13/18 7:56 - 57002c000151353432393339 4/16/19 19:46,2b004b001251363038393739 6/13/18 7:56 ,57002c000151353432393339 4/16/19 19:46,10508.62274,63
2b004b001251363038393739 6/13/18 7:56 - 3.30056E+23 4/26/19 14:46,2b004b001251363038393739 6/13/18 7:56 ,3.30056E+23 4/26/19 14:46,10637.18546,64
2b004b001251363038393739 6/13/18 7:56 - 2b002b001251363038393739 6/20/18 10:11,2b004b001251363038393739 6/13/18 7:56 ,2b002b001251363038393739 6/20/18 10:11,10639.24355,65
