core_1,core_2,logical_grid_distance
200031000951343334363138,3f0027001550483553353620,4
200031000951343334363138,32002a000d50483553343720,4
200031000951343334363138,2a002a000951343334363138,4
200031000951343334363138,2f0041001047373334363431,4
200031000951343334363138,510027000251353337353037,4
200031000951343334363138,2e002d000d50483553343720,4
200031000951343334363138,240055000151353432393339,2
200031000951343334363138,510038001951343334363036,4
200031000951343334363138,25004a000151353432393339,4
200031000951343334363138,350029001951353339373130,4
200031000951343334363138,34005a000f51353433323633,4
200031000951343334363138,200030000347373334363431,4
200031000951343334363138,49005b001151363038393739,4
200031000951343334363138,2c001e001647373333353132,4
200031000951343334363138,4a0052001151363038393739,4
200031000951343334363138,490039000951353431383437,4
200031000951343334363138,440031000347373334363431,4
200031000951343334363138,48002b001151363038393739,4
200031000951343334363138,2b002b001251363038393739,4
200031000951343334363138,31002d000d50483553343720,4
200031000951343334363138,330056001251363038393739,4
200031000951343334363138,500059000951343334363138,4
200031000951343334363138,4a0039000951353431383437,4
200031000951343334363138,500051000351353433323636,4
200031000951343334363138,43005f000951343334363138,4
200031000951343334363138,170046000951343334363138,4
200031000951343334363138,27003d000f47373334363431,4
200031000951343334363138,290050000351353337353037,4
200031000951343334363138,58003e000951343334363138,4
200031000951343334363138,380058000d50483553343720,4
200031000951343334363138,24004f000951343334363138,4
200031000951343334363138,2f0028001251363038393739,4
200031000951343334363138,2c0061001050483553343720,4
200031000951343334363138,280027001251363038393739,4
200031000951343334363138,3b004f000151353432393339,4
200031000951343334363138,2e003b001251363038393739,4
200031000951343334363138,2b0034000147373334363431,4
200031000951343334363138,34002d000d50483553343720,4
200031000951343334363138,450053000a51353431383437,4
200031000951343334363138,490034000951343334363138,4
200031000951343334363138,2b004a001251363038393739,4
200031000951343334363138,250025000f47373334363431,4
200031000951343334363138,34002a000d50483553343720,4
200031000951343334363138,560038000451353431383736,4
200031000951343334363138,18003f001951353339373130,4
200031000951343334363138,400021000347373334363431,4
200031000951343334363138,20002c000347373334363431,4
200031000951343334363138,2b002c001251363038393739,1
200031000951343334363138,3b0017000951343334363138,1
200031000951343334363138,420036000d47373334363431,1
200031000951343334363138,2a001b001451343334363036,4
200031000951343334363138,1a003b000951353431383437,4
200031000951343334363138,33005a001251363038393739,4
200031000951343334363138,550033001351363038393739,4
200031000951343334363138,1f003a000551353431383736,4
200031000951343334363138,2b003f000147373334363431,4
200031000951343334363138,280031001050483553343720,4
200031000951343334363138,26002d000151353432393339,4
200031000951343334363138,2a0020000147373334363431,4
200031000951343334363138,310024001351363038393739,4
200031000951343334363138,4a0046001951353339373130,4
200031000951343334363138,2b0047000f47373334363431,4
200031000951343334363138,2d0042000c47373334363431,4
200031000951343334363138,2a0028000f51353433323633,4
200031000951343334363138,540031001951353339373130,4
200031000951343334363138,450034000347373334363431,4
200031000951343334363138,520027000351353337353037,4
200031000951343334363138,2b0053000d50483553343720,4
200031000951343334363138,420028000347373334363431,4
200031000951343334363138,170045000951343334363138,4
200031000951343334363138,550036001351363038393739,4
200031000951343334363138,43002a001451343334363036,4
200031000951343334363138,2f0025001451343334363036,4
200031000951343334363138,200043000347373334363431,4
530039001351363038393739,200031000951343334363138,4
530039001351363038393739,530039001351363038393739,1
530039001351363038393739,380025001451343334363036,3
530039001351363038393739,1a0041001151363038393739,4
530039001351363038393739,2b004b001251363038393739,3
530039001351363038393739,230045000f47373334363431,3
530039001351363038393739,45005e000951343334363138,4
530039001351363038393739,220025000551353431383736,4
530039001351363038393739,190029000147373334363431,4
530039001351363038393739,1e0036000951343334363138,4
530039001351363038393739,2e001f001251363038393739,4
530039001351363038393739,3c0031000d47373334363431,4
530039001351363038393739,47005a001151363038393739,4
530039001351363038393739,4c0048000551353431383736,4
530039001351363038393739,27003c000951343334363138,4
530039001351363038393739,560044000151353432393339,4
530039001351363038393739,3f004a000c51343334363138,4
530039001351363038393739,3b0045000151353432393339,3
530039001351363038393739,50003b001950483553353620,3
530039001351363038393739,500030001951353339373130,4
530039001351363038393739,5d0040000d50483553343720,4
530039001351363038393739,43003a000951343334363138,4
530039001351363038393739,420025001451343334363036,4
530039001351363038393739,290029000f47373334363431,4
530039001351363038393739,220048001451343334363036,4
530039001351363038393739,43005d000951343334363138,4
530039001351363038393739,4a003d001151363038393739,3
530039001351363038393739,48003c001151363038393739,4
530039001351363038393739,36005d000951343334363138,4
530039001351363038393739,38003d001050483553343720,4
530039001351363038393739,48001a000951343334363138,4
530039001351363038393739,2e0048000951343334363138,4
530039001351363038393739,40001f000347373334363431,4
530039001351363038393739,42002b000951353431383437,3
530039001351363038393739,2e0042000147373334363431,3
530039001351363038393739,51003d000951343334363138,3
530039001351363038393739,59003d000951343334363138,3
530039001351363038393739,3a0026000e47373432363837,3
530039001351363038393739,34002b001251363038393739,4
530039001351363038393739,410048001451343334363036,4
530039001351363038393739,260045000f47373334363431,4
530039001351363038393739,4c0045000451353431383736,4
530039001351363038393739,280036001951353339373130,4
530039001351363038393739,2f0046000c47373334363431,4
530039001351363038393739,33002b001151363038393739,4
530039001351363038393739,3e002e001451343334363036,4
530039001351363038393739,510031001351363038393739,4
530039001351363038393739,280021001251363038393739,4
530039001351363038393739,35002f001951353339373130,4
